#
#,"DISCLAIMER OF WARRANTIES: Sanvean works hard to furnish customers with"
#,"accurate information, interpretations, and other data (collectively, 'Data')"
#,"that are part of, and incident to, the services provided.  However, Sanvean"
#,"cannot and does not guarantee the accuracy of the Data. All Data provided by"
#,"Sanvean are provided 'As Is' and 'as Available' for the customer's use.  All"
#,"Data provided by Sanvean is provided without warranties of any kind, either"
#,"express or implied, including, but not limited to, implied warranties of"
#,"merchantability, fitness for a particular purpose, or non-infringement."
#,"Further, without in any way limiting the foregoing disclaimers, Sanvean"
#,"cannot and does not warrant that Data furnished by Sanvean is or will be"
#,"accurate, complete, current, or reliable, that the functions and operation of"
#,"the Data will be uninterrupted, free of error, or available at any particular"
#,"time or location, that defects in the Data will be corrected, or that the"
#,"Data or the server that makes the Data available is free of viruses or other"
#,"harmful components."
#
#,"UNDER NO CIRCUMSTANCES SHOULD ANY OF THE DATA BE RELIED UPON AS THE SOLE"
#,"BASIS FOR ANY DRILLING, COMPLETION, PRODUCTION, OR FINANCIAL DECISION OR ANY"
#,"PROCEDURE INVOLVING ANY RISK TO THE SAFETY OF ANY DRILLING VENTURE, DRILLING"
#,"RIG, OR ITS CREW OR ANY OTHER THIRD PARTY. THE CUSTOMER HAS FULL"
#,"RESPONSIBILITY FOR ALL DRILLING COMPLETION AND PRODUCTION OPERATIONS."
#,"CUSTOMER'S USE OF THE DATA IS SOLELY AT THE CUSTOMER'S OWN RISK."
#
#,"LIMITATION OF LIABILITY.  IN NO EVENT WILL SANVEAN BE LIABLE FOR FAILURE BY"
#,"ANY PERSON, INCLUDING WITHOUT LIMITATION THE CUSTOMER, TO OBTAIN ANY"
#,"PARTICULAR RESULTS OR FOR DAMAGES RESULTING FROM THE USE OF THE DATA PROVIDED"
#,"BY SANVEAN, INCLUDING WITHOUT LIMITATION, LIABILITY FOR LOST REVENUES, LOST"
#,"PROFITS, LOSS OF BUSINESS, OR ANY CONSEQUENTIAL, INCIDENTAL, INDIRECT,"
#,"EXEMPLARY, SPECIAL, OR PUNITIVE DAMAGES, LOSS OR EXPENSES OF ANY KIND,"
#,"WHETHER SUCH LIABILITY IS ASSERTED ON THE BASIS OF STATUTE, CONTRACT, TORT"
#,"(INCLUDING NEGLIGENCE OR STRICT LIABILITY), OR OTHERWISE AND WHETHER OR NOT"
#,"FORESEEABLE, EVEN IF SANVEAN HAS BEEN ADVISED OR WAS AWARE OF THE POSSIBILITY"
#,"OF SUCH LOSS OR DAMAGES, AND EVEN IF THE RESULT, LOSS, INJURY, OR DAMAGES"
#,"WERE CAUSED BY OR CONTRIBUTED TO BY THE SOLE, JOINT, ACTIVE, OR PASSIVE,"
#,"NEGLIGENCE, GROSS NEGLIGENCE, STRICT LIABILITY, OR STATUTORY STRICT LIABILITY OF SANVEAN."
#
DateTime,Hookload (klbs),Weight on Bit (klbs),Block Position (ft),Top Drive RPM (RPM),Top Drive Torque (ft-lbs),Pump Pressure (psi),Differential Pressure (psi),AD Differential Pressure Setpoint Value (psi),AD ROP Setpoint Value (ft/hr),AD WOB Setpoint Value (klbs),Flow In (GPM),Depth - Bit (ft),Total Depth (ft),ROP - Instant Depth / Hour (ft/hr),ROP Depth/Hour (ft/hr),MSE (au),MSE DownHole (au),MWD Gamma (API),MSE Surface (au),MSE Total (au),AD ROP Actual Value (ft/hr),GC_Activity_Code (Code),GC_OnBottom (bool),GC_IsStand (bool),GC_StandSteadyState (bool),GC_StandIndex (count),GC_StandIndex_OnBottom (count),GC_Rotating (bool),GC_Sliding (bool),GC_Rotary_Power (hp),GC_Hydraulic_Power (hp),GC_Linear_Power (hp),GC_Total_Power (hp),GC_Energy_per_Foot (kWh/ft),GC_Differential_Pressure (psi),GC_ROP (ft/hr)
2020/11/24 16:11:14.0000,235.375530,-21.7448,61.327870,22.893750,3617.1543,2788.2588,-82.184080,375,86,45,556.4488,6281.2715,6289.0180,,0,,-999.25,,-999.25,-999.25,-0.000370,2,0,1,0,6,NaN,0,0,15.7673698125714,905.206104637946,0,920.973474450518,0,NaN,NaN
2020/11/24 16:11:15.0000,232.646060,-22.675920,61.265120,22.752870,4228.6580,2801.4214,-76.793120,375,86,45,554.6294,6281.3345,6289.0180,,0,,-999.25,,-999.25,-999.25,39.280860,2,0,1,0,6,NaN,0,0,18.3195174692422,906.505641907328,0,924.82515937657,0,NaN,NaN
2020/11/24 16:11:16.0000,221.472240,-22.502230,61.073440,22.712610,4597.1807,2763.1602,-72.883060,375,86,45,554.043950,6281.4175,6289.0180,,0,,-999.25,,-999.25,-999.25,174.361620,2,0,1,0,6,NaN,0,0,19.8808020446738,893.180975315513,0,913.061777360187,0,NaN,NaN
2020/11/24 16:11:17.0000,220.064870,-21.936990,60.944060,22.9340,4680.1990,2785.5176,-71.977010,375,86,45,553.0880,6281.5260,6289.0180,,0,,-999.25,,-999.25,-999.25,261.198730,2,0,1,0,6,NaN,0,0,20.4371066005331,898.854351428705,0,919.291458029238,0,NaN,NaN
2020/11/24 16:11:18.0000,220.4487,-19.588690,60.8157,22.8535,4044.3972,2759.3152,-73.242060,375,86,45,554.0723,6281.7837,6289.0180,,0,,-999.25,,-999.25,-999.25,338.564940,2,0,1,0,6,NaN,0,0,17.598749316489,891.983733540817,0,909.582482857306,0,NaN,NaN
2020/11/24 16:11:19.0000,216.567720,-15.5328,60.290120,22.712610,4550.6094,2770.7024,-71.613240,375,86,45,552.622860,6282.3090,6289.0180,,0,,-999.25,,-999.25,-999.25,580.0760,2,0,1,0,6,NaN,0,0,19.6794014783957,893.321752915323,0,913.001154393719,0,NaN,NaN
2020/11/24 16:11:20.0000,225.267930,-14.558450,60.155080,22.994390,4042.3723,2760.8699,-73.168540,375,86,45,554.4553,6282.4443,6289.0180,,0,,-999.25,,-999.25,-999.25,626.1062,2,0,1,0,6,NaN,0,0,17.698378749314,893.103237261068,0,910.801616010382,0,NaN,NaN
2020/11/24 16:11:21.0000,218.572170,-13.923530,59.738360,22.793120,4285.3540,2773.1420,-75.901290,375,86,45,555.36,6282.7270,6289.0180,,0,,-999.25,,-999.25,-999.25,743.520140,2,0,1,0,6,NaN,0,0,18.597979429642,898.536838459743,0,917.134817889385,0,NaN,NaN
2020/11/24 16:11:22.0000,217.378020,-13.227160,59.738360,22.752870,4423.0440,2773.1420,-74.866550,375,86,45,555.591860,6282.8610,6289.0180,,0,,-999.25,,-999.25,-999.25,743.520140,2,0,1,0,6,NaN,0,0,19.1616422574791,898.91197305958,0,918.073615317059,0,NaN,NaN
2020/11/24 16:11:23.0000,222.325210,-11.737340,59.337780,22.893750,3876.3350,2809.2776,-72.721610,375,86,45,554.9773,6283.1270,6289.0180,,0,,-999.25,,-999.25,-999.25,809.672360,2,0,1,0,6,NaN,0,0,16.8971524002761,909.618026486861,0,926.515178887137,0,NaN,NaN
2020/11/24 16:11:24.0000,216.866260,-10.950370,59.069060,22.793120,4475.69,2756.3188,-69.990840,375,86,45,553.7246,6283.5303,6289.0180,,0,,-999.25,,-999.25,-999.25,847.0938,2,0,1,0,6,NaN,0,0,19.4240173748667,890.455965579043,0,909.87998295391,0,NaN,NaN
2020/11/24 16:11:25.0000,220.406050,-10.242360,58.814610,22.772990,4388.6216,2809.2334,-71.763690,375,86,45,555.8583,6283.6620,6289.0180,,0,,-999.25,,-999.25,-999.25,863.513730,2,0,1,0,6,NaN,0,0,19.0293289814516,911.047667460455,0,930.076996441907,0,NaN,NaN
