,DateTime,Bit Box_ShYpeak(g),Surface_Total Depth(ft),Surface_Weight on Bit(klbs),Surface_Top Drive RPM(RPM),Surface_Top Drive Torque(ft-lbs)
6605,2020/11/24 01:43:56.000,1.2047395772,5892.0117,1.95742,0.11055,0.0
6606,2020/11/24 01:43:57.000,1.223856081,5892.0117,24.18099,0.17093,0.0
6607,2020/11/24 01:43:58.000,1.2429725848,5892.0117,41.91479,0.33194,0.0
6608,2020/11/24 01:43:59.000,1.2620890886,5892.0117,55.52717,0.43257,0.0
6609,2020/11/24 01:44:00.000,1.2812055924,5892.0117,61.06849,0.13068,0.0
6610,2020/11/24 01:44:01.000,1.3003220962,5892.0117,70.42161,0.1508,0.0
6611,2020/11/24 01:44:02.000,1.2888449241,5892.0117,77.72455,0.25144,0.0
6612,2020/11/24 01:44:03.000,1.2773677521,5892.0117,83.39467,0.29169,0.0
6613,2020/11/24 01:44:04.000,1.26589058,5892.0117,87.82539,0.37219,0.0
6614,2020/11/24 01:44:05.000,1.254413408,5892.0117,92.62102,0.23131,0.0
6615,2020/11/24 01:44:06.000,1.2429362359,5892.0117,94.993,0.0703,0.0
6616,2020/11/24 01:44:07.000,1.2467740762,5892.0117,96.8189,0.11055,0.0
6617,2020/11/24 01:44:08.000,1.2506119165,5892.0117,98.22974,0.29169,0.0
6618,2020/11/24 01:44:09.000,1.2544497568,5892.0117,99.31406,0.19106,0.0
6761,2020/11/24 01:46:32.000,5.8952453333,5892.0117,93.34521,0.27156,0.0
6762,2020/11/24 01:46:33.000,6.5094466952,5892.0117,61.13109,0.1508,0.0
6763,2020/11/24 01:46:34.000,7.1236480572,5892.0117,48.33286,0.17093,0.0
6764,2020/11/24 01:46:35.000,7.7378494191,5892.0117,27.62308,0.23131,0.0
6765,2020/11/24 01:46:36.000,8.3520507811,5892.0117,16.67471,0.35207,0.0
6766,2020/11/24 01:46:37.000,7.4795676118,5892.0117,8.32267,0.21118,0.0
6767,2020/11/24 01:46:38.000,6.6070844426,5892.0117,2.24195,0.21118,0.0
6814,2020/11/24 01:47:25.000,1.3807713471,5892.0117,12.36394,0.11055,0.0
6815,2020/11/24 01:47:26.000,1.2238379065,5892.0117,26.78666,0.35207,0.0
6816,2020/11/24 01:47:27.000,1.2047032283,5892.0117,50.871,0.09042,126.31698
6817,2020/11/24 01:47:28.000,1.1855685501,5892.0117,60.77315,2.24396,523.18713
6818,2020/11/24 01:47:29.000,1.1664338718,5892.0117,77.51301,8.98634,897.78394
6819,2020/11/24 01:47:30.000,1.1472991936,5892.0117,90.65462,19.79427,1282.505
6882,2020/11/24 01:48:33.000,1.6452915372,5892.0117,92.48923,0.27156,0.0
6883,2020/11/24 01:48:34.000,1.8942604473,5892.0117,77.75408,0.19106,0.0
6884,2020/11/24 01:48:35.000,2.1432293575,5892.0117,64.42982,0.25144,0.0
6885,2020/11/24 01:48:36.000,2.3921982676,5892.0117,40.1884,0.25144,0.0
6886,2020/11/24 01:48:37.000,2.1470490233,5892.0117,10.61375,0.1508,0.0
7255,2020/11/24 01:54:46.000,1.2237470344,5892.0117,5.84603,0.21118,0.0
7256,2020/11/24 01:54:47.000,1.2295128821,5892.0117,26.17671,0.09042,0.0
7257,2020/11/24 01:54:48.000,1.2352787297,5892.0117,35.11639,0.17093,0.0
7258,2020/11/24 01:54:49.000,1.2410445774,5892.0117,50.05154,0.17093,0.0
7259,2020/11/24 01:54:50.000,1.246810425,5892.0117,61.64007,0.27156,0.0
7260,2020/11/24 01:54:51.000,1.2525762727,5892.0117,74.41029,0.39232,0.0
7261,2020/11/24 01:54:52.000,1.2544861056,5892.0117,80.61537,0.23131,0.0
7262,2020/11/24 01:54:53.000,1.2563959386,5892.0117,85.44868,0.05017,0.0
7263,2020/11/24 01:54:54.000,1.2583057715,5892.0117,90.74776,0.13068,0.0
7264,2020/11/24 01:54:55.000,1.2602156045,5892.0117,92.10117,0.0703,0.0
7265,2020/11/24 01:54:56.000,1.2621254374,5892.0117,93.31171,0.17093,0.0
7266,2020/11/24 01:54:57.000,1.2716746021,5892.0117,95.30536,0.35207,1114.4426
7267,2020/11/24 01:54:58.000,1.2812237668,5892.0117,97.50705,0.33194,6581.5312
7268,2020/11/24 01:54:59.000,1.2907729315,5892.0117,98.07228,0.57346,8341.124
7269,2020/11/24 01:55:00.000,1.3003220962,5892.0117,99.39356,0.25144,12042.546
7407,2020/11/24 01:57:19.000,1.8610663103,5892.0117,99.9958,0.31182,0.0
7408,2020/11/24 01:57:20.000,2.0734757783,5892.0117,82.23789,0.25144,0.0
7409,2020/11/24 01:57:21.000,2.2858852462,5892.0117,42.71965,0.27156,0.0
7410,2020/11/24 01:57:22.000,2.2650406537,5892.0117,35.44896,0.19106,0.0
7411,2020/11/24 01:57:23.000,2.2441960612,5892.0117,23.70671,0.11055,0.0
7412,2020/11/24 01:57:24.000,2.2233514688,5892.0117,13.32157,0.43257,0.0
7413,2020/11/24 01:57:25.000,2.2025068763,5892.0117,5.52086,0.23131,0.0
7414,2020/11/24 01:57:26.000,2.1816622838,5892.0117,1.72713,0.27156,0.0
7460,2020/11/24 01:58:12.000,1.6794504369,5892.0117,17.24957,0.17093,0.0
7461,2020/11/24 01:58:13.000,1.5514734557,5892.0117,43.69616,0.13068,0.0
7462,2020/11/24 01:58:14.000,1.4234964744,5892.0117,64.12345,0.27156,0.0
7463,2020/11/24 01:58:15.000,1.2955194932,5892.0117,80.95499,0.09042,0.0
7464,2020/11/24 01:58:16.000,1.1675425119,5892.0117,93.77318,0.37219,0.0
7519,2020/11/24 01:59:11.000,1.1101566516,5892.0117,95.74025,0.31182,0.0
7520,2020/11/24 01:59:12.000,1.0967151233,5892.0117,53.05396,0.27156,0.0
7521,2020/11/24 01:59:13.000,1.0832735951,5892.0117,40.41805,0.03004,0.0
7522,2020/11/24 01:59:14.000,1.0698320668,5892.0117,16.41663,0.11055,0.0
7523,2020/11/24 01:59:15.000,1.0563905386,5892.0117,16.41663,0.31182,0.0
8631,2020/11/24 02:17:45.000,1.3213847818,5892.0117,19.24114,0.25144,0.0
8632,2020/11/24 02:17:46.000,1.3386096271,5892.0117,35.16944,0.1508,0.0
8633,2020/11/24 02:17:47.000,1.3500867992,5892.0117,47.64305,0.1508,0.0
8634,2020/11/24 02:17:48.000,1.3615639712,5892.0117,61.16085,0.17093,0.0
8635,2020/11/24 02:17:49.000,1.3730411433,5892.0117,64.67713,0.05017,0.0
8636,2020/11/24 02:17:50.000,1.3845183153,5892.0117,70.55246,0.21118,142.51576
8637,2020/11/24 02:17:51.000,1.3959954874,5892.0117,72.98786,0.17093,3817.6143
8638,2020/11/24 02:17:52.000,1.3653836371,5892.0117,78.59042,0.27156,5761.4683
8639,2020/11/24 02:17:53.000,1.3347717868,5892.0117,82.45139,0.23131,11171.861
8640,2020/11/24 02:17:54.000,1.3041599365,5892.0117,84.3416,0.05017,14909.7295
8641,2020/11/24 02:17:55.000,1.2735480862,5892.0117,85.82088,24.42337,1466.7661
8642,2020/11/24 02:17:56.000,1.2429362359,5892.0117,86.65391,24.54413,853.2373
8643,2020/11/24 02:17:57.000,1.2371885627,5892.0117,90.64322,24.70514,743.8955
8644,2020/11/24 02:17:58.000,1.2314408894,5892.0117,90.64322,24.54413,875.5106
8645,2020/11/24 02:17:59.000,1.2256932162,5892.0117,96.33828,24.62463,693.27435
8646,2020/11/24 02:18:00.000,1.2199455429,5892.0117,98.42847,24.78564,689.2246
8767,2020/11/24 02:20:02.000,4.5041251466,5892.0117,65.64462,0.27156,0.0
8768,2020/11/24 02:20:03.000,4.970869535,5892.0117,41.68526,0.19106,0.0
8769,2020/11/24 02:20:04.000,5.4376139233,5892.0117,27.20334,0.11055,0.0
8770,2020/11/24 02:20:05.000,5.9043583117,5892.0117,17.28421,0.25144,0.0
8771,2020/11/24 02:20:06.000,6.3711027,5892.0117,5.72199,0.23131,0.0
8772,2020/11/24 02:20:07.000,5.3473792401,5892.0117,2.12227,0.25144,0.0
8829,2020/11/24 02:21:04.000,1.2830609021,5892.0117,0.00612,0.13068,0.0
8830,2020/11/24 02:21:05.000,1.3060152462,5892.0117,0.00346,0.03004,0.0
8831,2020/11/24 02:21:06.000,1.3289695903,5892.0117,0.00838,0.21118,0.0
8832,2020/11/24 02:21:07.000,1.3136727524,5892.0117,0.00586,0.23131,0.0
8833,2020/11/24 02:21:08.000,1.2983759144,5892.0117,0.01034,0.19106,0.0
8834,2020/11/24 02:21:09.000,1.2830790765,5892.0117,0.01992,0.19106,0.0
8835,2020/11/24 02:21:10.000,1.2677822385,5892.0117,0.019,0.09042,0.0
8836,2020/11/24 02:21:11.000,1.2524854006,5892.0117,0.02321,0.29169,0.0
8837,2020/11/24 02:21:12.000,1.2697102459,5892.0117,0.0267,0.21118,0.0
8838,2020/11/24 02:21:13.000,1.2869350912,5892.0117,0.02547,0.21118,0.0
8839,2020/11/24 02:21:14.000,1.3041599365,5892.0117,0.03608,0.17093,0.0
8840,2020/11/24 02:21:15.000,1.3213847818,5892.0117,0.05532,0.0,0.0
8841,2020/11/24 02:21:16.000,1.3386096271,5892.0117,0.05955,0.03004,0.0
8842,2020/11/24 02:21:17.000,1.3099076097,5892.0117,0.06403,0.09042,0.0
8843,2020/11/24 02:21:18.000,1.2812055924,5892.0117,0.07085,0.1508,0.0
8844,2020/11/24 02:21:19.000,1.252503575,5892.0117,0.07569,0.23131,0.0
8845,2020/11/24 02:21:20.000,1.2238015577,5892.0117,0.07569,0.31182,0.0
8846,2020/11/24 02:21:21.000,1.1950995403,5892.0117,0.07656,0.31182,0.0
8847,2020/11/24 02:21:22.000,1.1989192062,5892.0117,0.09153,0.25144,0.0
8848,2020/11/24 02:21:23.000,1.2027388721,5892.0117,0.09203,0.23131,0.0
8849,2020/11/24 02:21:24.000,1.2065585379,5892.0117,0.09961,0.25144,0.0
8850,2020/11/24 02:21:25.000,1.2103782038,5892.0117,0.09846,0.11055,0.0
8851,2020/11/24 02:21:26.000,1.2141978697,5892.0117,0.09628,0.17093,0.0
8852,2020/11/24 02:21:27.000,1.2352605553,5892.0117,0.0921,0.05017,0.0
8853,2020/11/24 02:21:28.000,1.2563232409,5892.0117,0.09396,0.35207,0.0
8854,2020/11/24 02:21:29.000,1.2773859265,5892.0117,0.09141,0.1508,0.0
8855,2020/11/24 02:21:30.000,1.2984486121,5892.0117,0.09363,0.23131,0.0
8856,2020/11/24 02:21:31.000,1.3195112977,5892.0117,0.09272,0.11055,0.0
8857,2020/11/24 02:21:32.000,1.302268278,5892.0117,0.10024,0.0703,0.0
8858,2020/11/24 02:21:33.000,1.2850252583,5892.0117,0.0999,0.11055,0.0
8859,2020/11/24 02:21:34.000,1.2677822385,5892.0117,0.09514,0.17093,0.0
8860,2020/11/24 02:21:35.000,1.2505392188,5892.0117,0.11192,0.1508,0.0
8861,2020/11/24 02:21:36.000,1.2332961991,5892.0117,0.11106,0.00992,0.0
8862,2020/11/24 02:21:37.000,1.2179993612,5892.0117,0.12655,0.1508,0.0
8863,2020/11/24 02:21:38.000,1.2027025232,5892.0117,0.11855,0.17093,0.0
8864,2020/11/24 02:21:39.000,1.1874056853,5892.0117,0.11815,0.25144,0.0
8865,2020/11/24 02:21:40.000,1.1721088473,5892.0117,0.14012,0.1508,0.0
8866,2020/11/24 02:21:41.000,1.1568120094,5892.0117,0.14028,0.1508,0.0
8867,2020/11/24 02:21:42.000,1.1759466876,5892.0117,0.15665,0.19106,0.0
8868,2020/11/24 02:21:43.000,1.1950813659,5892.0117,0.23805,0.13068,0.0
8869,2020/11/24 02:21:44.000,1.2142160441,5892.0117,0.26505,0.11055,0.0
8870,2020/11/24 02:21:45.000,1.2333507224,5892.0117,0.38241,0.0703,0.0
8871,2020/11/24 02:21:46.000,1.2524854006,5892.0117,0.46372,0.05017,0.0
