,DateTime,Bit Box_GyroXmax(RPM),Bit Box_GyroXmed(RPM),Bit Box_Temperature(C),Bit Box_ShXpeak(g),Bit Box_ShXrms(g),Bit Box_ShXmax(g),Bit Box_ShYpeak(g),Bit Box_ShYrms(g),Bit Box_ShYmax(g),Bit Box_ShZpeak(g),Bit Box_ShZrms(g),Bit Box_ShZmax(g),Top Sub_GyroXmax(RPM),Top Sub_GyroXmed(RPM),Top Sub_GyroXmin(RPM),Top Sub_StickSlip(%),Top Sub_Temperature(C),Top Sub_ShXpeak(g),Top Sub_ShXrms(g),Top Sub_ShXmax(g),Top Sub_ShYpeak(g),Top Sub_ShYrms(g),Top Sub_ShYmax(g),Top Sub_ShZpeak(g),Top Sub_ShZrms(g),Top Sub_ShZmax(g),Surface_Hookload(klbs),Surface_Weight on Bit(klbs),Surface_Block Position(ft),Surface_Top Drive RPM(RPM),Surface_Top Drive Torque(kft-lbs),Surface_Pump Pressure(psi),Surface_Differential Pressure(psi),Surface_AD Differential Pressure Setpoint Value(psi),Surface_AD ROP Setpoint Value(ft/hr),Surface_AD WOB Setpoint Value(klbs),Surface_Flow In(GPM),Surface_Depth - Bit(ft),Surface_Total Depth(ft),Surface_ROP - Instant Depth / Hour(ft/hr),Surface_ROP Depth/Hour(ft/hr),Surface_MSE(au),Surface_MSE DownHole(au),Surface_MWD Gamma(API),Surface_MSE Surface(au),Surface_MSE Total(au),Surface_AD ROP Actual Value(ft/hr),Surface_GC_Activity_Code(Code),Surface_GC_OnBottom(bool),Surface_GC_IsStand(bool),Surface_GC_StandSteadyState(bool),Surface_GC_StandIndex(count),Surface_GC_StandIndex_OnBottom(count),Surface_GC_Rotating(bool),Surface_GC_Sliding(bool),Surface_GC_Rotary_Power(hp),Surface_GC_Hydraulic_Power(hp),Surface_GC_Linear_Power(hp),Surface_GC_Total_Power(hp),Surface_GC_Energy_per_Foot(kWh/ft),Surface_GC_Differential_Pressure(psi),Surface_GC_ROP(ft/hr),Augmented RPM(RPM)
0,2020/12/07 17:31:24.000,,,,,,,,,,,,,,,,,,,,,,,,,,,176.9476,35.71095,62.90792,0.19106,0.0,6.28852,-1124.3405,528.0,3.0,3.8,0.0,7735.9097,8025.7793,,0.0,,,,,,6169.4097,11.0,1.0,1.0,1.0,26.0,26.0,0.0,1.0,0.0,0.0,113.10999642,113.10999642,0.013449295076,,3638.52,0.0
1,2020/12/07 17:31:25.000,,,,,,,,,,,,,,,,,,,,,,,,,,,200.10553,37.75085,61.89741,0.0,0.0,6.22476,-1124.3586,528.0,3.0,3.8,0.0,7736.9204,8025.7793,,0.0,,,,,,5640.249,11.0,1.0,1.0,1.0,26.0,26.0,0.0,1.0,0.0,0.0,113.40333551,113.40333551,0.014217552908,,5760.36,0.0
2,2020/12/07 17:31:26.000,,,,,,,,,,,,,,,,,,,,,,,,,,,169.82536,35.99652,60.29702,0.0,0.0,5.19247,-1124.3453,528.0,3.0,3.8,0.0,7738.5205,8025.7793,,0.0,,,,,,5048.308,11.0,1.0,1.0,1.0,26.0,26.0,0.0,1.0,0.0,0.0,105.48618114,105.48618114,0.013556845147,,5621.4,0.0
3,2020/12/07 17:31:27.000,,,,,,,,,,,,,,,,,,,,,,,,,,,199.80699,37.55655,58.73571,0.29169,0.0,4.93501,-1124.4178,528.0,3.0,3.8,0.0,7740.082,8025.7793,,0.0,,,,,,5136.2603,11.0,1.0,1.0,1.0,26.0,26.0,0.0,1.0,0.0,0.0,107.0245811,107.0245811,0.014144376528,,6552.0,0.0
4,2020/12/07 17:31:28.000,,,,,,,,,,,,,,,,,,,,,,,,,,,176.22258,35.98631,56.91574,0.09042,0.0,6.29833,-1124.4427,528.0,3.0,3.8,0.0,7741.902,8025.7793,,0.0,,,,,,5428.608,11.0,1.0,1.0,1.0,26.0,26.0,0.0,1.0,0.0,0.0,98.227170653,98.227170653,0.013552999903,,6698.52,0.0
5,2020/12/07 17:31:29.000,,,,,,,,,,,,,,,,,,,,,,,,,,,192.08769,38.0552,55.05477,0.00992,0.0,5.13852,-1124.4349,528.0,3.0,3.8,0.0,7743.7627,8025.7793,,0.0,,,,,,5712.039,11.0,1.0,1.0,1.0,26.0,26.0,0.0,1.0,0.0,0.0,104.4352613,104.4352613,0.014332175817,,6465.24,0.0
6,2020/12/07 17:31:30.000,,,,,,,,,,,,,,,,,,,,,,,,,,,177.24614,36.17781,53.25909,0.1508,0.0,4.92765,-1124.4408,528.0,3.0,3.8,0.0,7745.5586,8025.7793,,0.0,,,,,,5873.3354,11.0,1.0,1.0,1.0,26.0,26.0,0.0,1.0,0.0,0.0,107.54918693,107.54918693,0.013625121759,,6578.64,0.0
7,2020/12/07 17:31:31.000,,,,,,,,,,,,,,,,,,,,,,,,,,,183.60071,37.56517,51.43146,0.0,0.0,5.03309,-1124.4408,528.0,3.0,3.8,0.0,7747.386,8025.7793,,0.0,,,,,,6040.971,11.0,1.0,1.0,1.0,26.0,26.0,0.0,1.0,0.0,0.0,111.23958902,111.23958902,0.014147622953,,6409.8,0.0
8,2020/12/07 17:31:32.000,,,,,,,,,,,,,,,,,,,,,,,,,,,187.3964,36.54033,49.65095,0.13068,0.0,6.86964,-1124.474,528.0,3.0,3.8,0.0,7749.1665,8025.7793,,0.0,,,,,,6131.431,11.0,1.0,1.0,1.0,26.0,26.0,0.0,1.0,0.0,0.0,111.04385641,111.04385641,0.013761652388,,3385.8,0.0
9,2020/12/07 17:31:33.000,,,,,,,,,,,,,,,,,,,,,,,,,,,174.60196,35.5161,48.71073,0.27156,0.0,5.01592,-1124.4792,528.0,3.0,3.8,0.0,7750.107,8025.7793,,0.0,,,,,,6201.547,11.0,1.0,1.0,1.0,26.0,26.0,0.0,1.0,0.0,0.0,106.3995737,106.3995737,0.013375911558,,6334.92,0.0
10,2020/12/07 17:31:34.000,,,,,,,,,,,,,,,,,,,,,,,,,,,196.13925,36.97054,46.9509,0.0,0.0,5.92317,-1124.491,528.0,3.0,3.8,0.0,7751.8667,8025.7793,,0.0,,,,,,6252.583,11.0,1.0,1.0,1.0,26.0,26.0,0.0,1.0,0.0,0.0,106.61835123,106.61835123,0.013923676116,,6110.28,0.0
11,2020/12/07 17:31:35.000,,,,,,,,,,,,,,,,,,,,,,,,,,,190.93619,35.33042,45.25346,0.31182,0.0,5.24641,-1124.4849,528.0,3.0,3.8,0.0,7753.564,8025.7793,,0.0,,,,,,6212.469,11.0,1.0,1.0,1.0,26.0,26.0,0.0,1.0,0.0,0.0,103.14749832,103.14749832,0.013305981603,,3150.0,0.0
12,2020/12/07 17:31:36.000,,,,,,,,,,,,,,,,,,,,,,,,,,,173.83429,35.08516,43.52065,0.05017,0.0,5.67061,-1124.4772,528.0,3.0,3.8,0.0,7754.439,8025.7793,,0.0,,,,,,6219.2715,11.0,1.0,1.0,1.0,26.0,26.0,0.0,1.0,0.0,0.0,100.07033899,100.07033899,0.013213612901,,5983.2,0.0
13,2020/12/07 17:31:37.000,,,,,,,,,,,,,,,,,,,,,,,,,,,195.4569,36.73753,42.71648,0.11055,0.0,5.7834,-1124.5112,528.0,3.0,3.8,0.0,7756.101,8025.7793,,0.0,,,,,,6168.752,11.0,1.0,1.0,1.0,26.0,26.0,0.0,1.0,0.0,0.0,102.29757093,102.29757093,0.013835920952,,9111.6,0.0
14,2020/12/07 17:31:38.000,,,,,,,,,,,,,,,,,,,,,,,,,,,176.64906,35.32044,40.18562,0.00992,0.0,5.37146,-1124.4661,528.0,3.0,3.8,0.0,7758.632,8025.7793,,0.0,,,,,,6143.547,11.0,1.0,1.0,1.0,26.0,26.0,0.0,1.0,0.0,0.0,92.777412902,92.777412902,0.013302222981,,6148.8,0.0
15,2020/12/07 17:31:39.000,,,,,,,,,,,,,,,,,,,,,,,,,,,205.86304,36.76594,38.47787,0.00992,0.0,4.7511,-1124.5189,528.0,3.0,3.8,0.0,7760.34,8025.7793,,0.0,,,,,,6145.963,11.0,1.0,1.0,1.0,26.0,26.0,0.0,1.0,0.0,0.0,100.3351716,100.3351716,0.013846620597,,5946.12,0.0
16,2020/12/07 17:31:40.000,,,,,,,,,,,,,,,,,,,,,,,,,,,170.50774,35.26057,36.82596,0.0,0.0,6.49203,-1124.4852,528.0,3.0,3.8,0.0,7761.9917,8025.7793,,0.0,,,,,,6109.7783,11.0,1.0,1.0,1.0,26.0,26.0,0.0,1.0,0.0,0.0,98.938832321,98.938832321,0.013279675015,,4479.48,0.0
17,2020/12/07 17:31:41.000,,,,,,,,,,,,,,,,,,,,,,,,,,,188.88908,38.85145,35.58196,0.0703,0.0,5.95014,-1124.4791,528.0,3.0,3.8,0.0,7763.236,8025.7793,,0.0,,,,,,5788.224,11.0,1.0,1.0,1.0,26.0,26.0,0.0,1.0,0.0,0.0,104.7696798,104.7696798,0.014632055859,,2296.8,0.0
18,2020/12/07 17:31:42.000,,,,,,,,,,,,,,,,,,,,,,,,,,,196.43779,38.23264,34.94384,0.03004,0.0,5.7834,-1124.4961,528.0,3.0,3.8,0.0,7763.874,8025.7793,,0.0,,,,,,5612.0073,11.0,1.0,1.0,1.0,26.0,26.0,0.0,1.0,0.0,0.0,103.71591624,103.71591624,0.01439900246,,7610.4,0.0
19,2020/12/07 17:31:43.000,,,,,,,,,,,,,,,,,,,,,,,,,,,185.43459,38.55477,32.83007,0.00992,0.0,4.2043,-1124.5475,528.0,3.0,3.8,0.0,7765.988,8025.7793,,0.0,,,,,,5451.3076,11.0,1.0,1.0,1.0,26.0,26.0,0.0,1.0,0.0,0.0,104.49958249,104.49958249,0.014520321591,,4699.8,0.0
20,2020/12/07 17:31:44.000,,,,,,,,,,,,,,,,,,,,,,,,,,,174.98578,38.8541,31.52413,0.13068,0.0,4.72904,-1124.5486,528.0,3.0,3.8,0.0,7767.2935,8025.7793,,0.0,,,,,,5291.482,11.0,1.0,1.0,1.0,26.0,26.0,0.0,1.0,0.0,0.0,110.26395628,110.26395628,0.01463305389,,4455.72,0.0
21,2020/12/07 17:31:45.000,,,,,,,,,,,,,,,,,,,,,,,,,,,168.54591,39.45847,30.2866,0.03004,0.0,5.68777,-1124.5424,528.0,3.0,3.8,0.0,7768.5312,8025.7793,,0.0,,,,,,5126.359,11.0,1.0,1.0,1.0,26.0,26.0,0.0,1.0,0.0,0.0,104.61209467,104.61209467,0.014860668962,,1891.44,0.0
22,2020/12/07 17:31:46.000,,,,,,,,,,,,,,,,,,,,,,,,,,,195.24365,41.30557,28.62995,0.19106,0.0,5.20228,-1124.5264,528.0,3.0,3.8,0.0,7769.0566,8025.7793,,0.0,,,,,,4757.854,11.0,1.0,1.0,1.0,26.0,26.0,0.0,1.0,0.0,0.0,111.6549996,111.6549996,0.015556315338,,9447.84,0.0
23,2020/12/07 17:31:47.000,,,,,,,,,,,,,,,,,,,,,,,,,,,160.91191,40.7803,27.1367,0.00992,0.0,5.88884,-1124.5577,528.0,3.0,3.8,0.0,7771.681,8025.7793,,0.0,,,,,,4864.3594,11.0,1.0,1.0,1.0,26.0,26.0,0.0,1.0,0.0,0.0,123.09843561,123.09843561,0.015358490547,,5670.0,0.0
24,2020/12/07 17:31:48.000,,,,,,,,,,,,,,,,,,,,,,,,,,,195.07306,42.11084,25.56198,0.19106,0.0,6.23948,-1124.5105,528.0,3.0,3.8,0.0,7773.256,8025.7793,,0.0,,,,,,5039.962,11.0,1.0,1.0,1.0,26.0,26.0,0.0,1.0,0.0,0.0,125.11744568,125.11744568,0.015859592452,,3089.88,0.0
