#
#,"DISCLAIMER OF WARRANTIES: Sanvean works hard to furnish customers with"
#,"accurate information, interpretations, and other data (collectively, 'Data')"
#,"that are part of, and incident to, the services provided.  However, Sanvean"
#,"cannot and does not guarantee the accuracy of the Data. All Data provided by"
#,"Sanvean are provided 'As Is' and 'as Available' for the customer's use.  All"
#,"Data provided by Sanvean is provided without warranties of any kind, either"
#,"express or implied, including, but not limited to, implied warranties of"
#,"merchantability, fitness for a particular purpose, or non-infringement."
#,"Further, without in any way limiting the foregoing disclaimers, Sanvean"
#,"cannot and does not warrant that Data furnished by Sanvean is or will be"
#,"accurate, complete, current, or reliable, that the functions and operation of"
#,"the Data will be uninterrupted, free of error, or available at any particular"
#,"time or location, that defects in the Data will be corrected, or that the"
#,"Data or the server that makes the Data available is free of viruses or other"
#,"harmful components."
#
#,"UNDER NO CIRCUMSTANCES SHOULD ANY OF THE DATA BE RELIED UPON AS THE SOLE"
#,"BASIS FOR ANY DRILLING, COMPLETION, PRODUCTION, OR FINANCIAL DECISION OR ANY"
#,"PROCEDURE INVOLVING ANY RISK TO THE SAFETY OF ANY DRILLING VENTURE, DRILLING"
#,"RIG, OR ITS CREW OR ANY OTHER THIRD PARTY. THE CUSTOMER HAS FULL"
#,"RESPONSIBILITY FOR ALL DRILLING COMPLETION AND PRODUCTION OPERATIONS."
#,"CUSTOMER'S USE OF THE DATA IS SOLELY AT THE CUSTOMER'S OWN RISK."
#
#,"LIMITATION OF LIABILITY.  IN NO EVENT WILL SANVEAN BE LIABLE FOR FAILURE BY"
#,"ANY PERSON, INCLUDING WITHOUT LIMITATION THE CUSTOMER, TO OBTAIN ANY"
#,"PARTICULAR RESULTS OR FOR DAMAGES RESULTING FROM THE USE OF THE DATA PROVIDED"
#,"BY SANVEAN, INCLUDING WITHOUT LIMITATION, LIABILITY FOR LOST REVENUES, LOST"
#,"PROFITS, LOSS OF BUSINESS, OR ANY CONSEQUENTIAL, INCIDENTAL, INDIRECT,"
#,"EXEMPLARY, SPECIAL, OR PUNITIVE DAMAGES, LOSS OR EXPENSES OF ANY KIND,"
#,"WHETHER SUCH LIABILITY IS ASSERTED ON THE BASIS OF STATUTE, CONTRACT, TORT"
#,"(INCLUDING NEGLIGENCE OR STRICT LIABILITY), OR OTHERWISE AND WHETHER OR NOT"
#,"FORESEEABLE, EVEN IF SANVEAN HAS BEEN ADVISED OR WAS AWARE OF THE POSSIBILITY"
#,"OF SUCH LOSS OR DAMAGES, AND EVEN IF THE RESULT, LOSS, INJURY, OR DAMAGES"
#,"WERE CAUSED BY OR CONTRIBUTED TO BY THE SOLE, JOINT, ACTIVE, OR PASSIVE,"
#,"NEGLIGENCE, GROSS NEGLIGENCE, STRICT LIABILITY, OR STATUTORY STRICT LIABILITY OF SANVEAN."
#
DateTime,Hookload (klbs),Weight on Bit (klbs),Block Position (ft),Top Drive RPM (RPM),Top Drive Torque (ft-lbs),Pump Pressure (psi),Differential Pressure (psi),AD Differential Pressure Setpoint Value (psi),AD ROP Setpoint Value (ft/hr),AD WOB Setpoint Value (klbs),Flow In (GPM),Depth - Bit (ft),Total Depth (ft),ROP - Instant Depth / Hour (ft/hr),ROP Depth/Hour (ft/hr),MSE (au),MSE DownHole (au),MWD Gamma (API),MSE Surface (au),MSE Total (au),AD ROP Actual Value (ft/hr),GC_Activity_Code (Code),GC_OnBottom (bool),GC_IsStand (bool),GC_StandSteadyState (bool),GC_StandIndex (count),GC_StandIndex_OnBottom (count),GC_Rotating (bool),GC_Sliding (bool),GC_Rotary_Power (hp),GC_Hydraulic_Power (hp),GC_Linear_Power (hp),GC_Total_Power (hp),GC_Energy_per_Foot (kWh/ft),GC_Differential_Pressure (psi),GC_ROP (ft/hr)
2020/11/24 01:18:56.0000,44.141320,53.721590,-0.337470,0.372190,0,50.652820,-670.8499,291,0,8.20,0,5497.31,5892.0117,,0,,-999.25,,-999.25,-999.25,6692.5930,0,0,0,0,NaN,NaN,0,0,0,0,0,0,0,NaN,NaN
2020/11/24 01:18:57.0000,28.7880,72.928020,-0.337690,0.231310,0,52.200050,-670.9357,291,0,8.20,0,5497.31,5892.0117,,0,,-999.25,,-999.25,-999.25,5214.7563,0,0,0,0,NaN,NaN,0,0,0,0,0,0,0,NaN,NaN
2020/11/24 01:18:58.0000,45.420770,81.303520,0.014770,0.110550,0,51.481610,-670.955570,291,0,8.20,0,5497.31,5892.0117,,0,,-999.25,,-999.25,-999.25,3796.5870,0,0,0,0,NaN,NaN,0,0,0,0,0,0,0,NaN,NaN
2020/11/24 01:18:59.0000,40.004460,94.1386,0.277830,0.191060,0,53.063160,-670.935240,291,0,8.20,0,5497.31,5892.0117,,0,,-999.25,,-999.25,-999.25,2406.4465,0,0,0,0,NaN,NaN,0,0,0,0,0,0,0,NaN,NaN
2020/11/24 01:19:00.0000,36.080830,113.164110,0.798370,0.009920,0,52.489380,-670.8964,291,0,8.20,0,5497.31,5892.0117,,0,,-999.25,,-999.25,-999.25,1525.1462,0,0,0,0,NaN,NaN,0,0,0,0,0,0,0,NaN,NaN
2020/11/24 01:19:01.0000,35.441110,116.777720,2.276730,0.331940,0,51.562520,-670.890560,291,0,8.20,0,5497.31,5892.0117,,0,,-999.25,,-999.25,-999.25,92.089980,0,0,0,0,NaN,NaN,0,0,0,0,0,0,0,NaN,NaN
2020/11/24 01:19:02.0000,34.844030,125.4231,4.716330,0.271560,0,51.280540,-670.964540,291,0,8.20,0,5497.31,5892.0117,,0,,-999.25,,-999.25,-999.25,-1794.3392,0,0,0,0,NaN,NaN,0,0,0,0,0,0,0,NaN,NaN
2020/11/24 01:19:03.0000,38.341180,129.642840,8.083840,0.231310,0,51.986720,-670.987550,291,0,8.20,0,5497.31,5892.0117,,0,,-999.25,,-999.25,-999.25,-4003.5605,0,0,0,0,NaN,NaN,0,0,0,0,0,0,0,NaN,NaN
2020/11/24 01:19:04.0000,36.507310,131.319440,10.082220,0.1508,0,50.324250,-670.977840,291,0,8.20,0,5497.31,5892.0117,,0,,-999.25,,-999.25,-999.25,-5184.3530,0,0,0,0,NaN,NaN,0,0,0,0,0,0,0,NaN,NaN
2020/11/24 01:19:05.0000,37.317620,134.053160,14.623530,0.291690,0,51.194720,-671.0183,291,0,8.20,0,5497.31,5892.0117,,0,,-999.25,,-999.25,-999.25,-7568.4680,0,0,0,0,NaN,NaN,0,0,0,0,0,0,0,NaN,NaN
2020/11/24 01:19:06.0000,35.014620,136.105990,19.621540,0.009920,0,52.038210,-671.0120,291,0,8.20,0,5497.31,5892.0117,,0,,-999.25,,-999.25,-999.25,-9840.3370,0,0,0,0,NaN,NaN,0,0,0,0,0,0,0,NaN,NaN
2020/11/24 01:19:07.0000,36.549960,137.595720,24.886210,0.090420,0,51.2977,-671.038150,291,0,8.20,0,5497.31,5892.0117,,0,,-999.25,,-999.25,-999.25,-11859.1370,0,0,0,0,NaN,NaN,0,0,0,0,0,0,0,NaN,NaN
2020/11/24 01:19:08.0000,45.335470,138.814250,32.921440,0.0703,0,49.757840,-671.0479,291,0,8.20,0,5497.31,5892.0117,,0,,-999.25,,-999.25,-999.25,-14206.8850,0,0,0,0,NaN,NaN,0,0,0,0,0,0,0,NaN,NaN
